Date,Open,High,Low,Close,Adj Close,Volume
8/30/10,125.080002,125.269997,123.400002,123.400002,89.542847,3604000
8/31/10,123.309998,123.989998,122.279999,123.129997,89.346947,5624200
9/1/10,125.309998,126.309998,124.519997,125.769997,91.262581,5623100
9/2/10,126.029999,126.230003,124.650002,125.040001,90.732887,5103300
9/3/10,126.220001,127.599998,125.900002,127.580002,92.576012,5142900
9/7/10,126.989998,127.360001,125.879997,125.949997,91.393204,4353300
9/8/10,126.019997,126.519997,125.389999,126.080002,91.487564,4477500
9/9/10,127.269997,127.57,126.150002,126.360001,91.690735,3436700
9/10/10,126.989998,128.289993,126.260002,127.989998,92.873505,4418700
9/13/10,128.630005,130,128.520004,129.610001,94.049034,5271300
9/14/10,128.429993,129.919998,128.429993,128.850006,93.497536,4850500
9/15/10,128.649994,129.960007,128.539993,129.429993,93.918396,4762500
9/16/10,129.199997,129.949997,128.800003,129.669998,94.092575,4685000
9/17/10,129.919998,130.600006,129.699997,130.190002,94.469917,10397400
9/20/10,130.240005,132.089996,130.110001,131.789993,95.630898,7145500
9/21/10,131.449997,132.800003,130.779999,131.979996,95.768761,5267900
9/22/10,131.610001,132.580002,131.399994,132.570007,96.196877,4922400
9/23/10,131.419998,132.779999,131.220001,131.669998,95.543816,3898800
9/24/10,132.419998,134.149994,132.339996,134.110001,97.314362,7122400
9/27/10,133.509995,135,133.509995,134.649994,97.706177,6155400
9/28/10,134.669998,135.139999,133.710007,134.889999,97.880341,7481300
9/29/10,134.399994,135.800003,134.339996,135.479996,98.308449,5151200
9/30/10,135.5,136.110001,133.669998,134.139999,97.336113,6425800
10/1/10,135.509995,136.279999,135.089996,135.639999,98.424576,5621200
10/4/10,135.229996,135.919998,134.389999,135.25,98.141602,4059900
10/5/10,136.179993,137.899994,136.119995,137.660004,99.89035,6202500
10/6/10,136.880005,137.960007,136.830002,137.839996,100.020973,4783000
10/7/10,137.919998,138.880005,137.520004,138.720001,100.6595,6440800
10/8/10,138.399994,139.089996,138.059998,138.850006,100.753845,4540800
10/11/10,138.789993,139.940002,138.639999,139.660004,101.341621,4004300
10/12/10,138.399994,139.990005,138.270004,139.850006,101.4795,5637300
10/13/10,139.910004,141.479996,139.779999,140.369995,101.856827,8784300
10/14/10,140.350006,141.5,139.690002,141.5,102.676788,5653100
10/15/10,142.100006,142.100006,140.539993,141.059998,102.357475,7220400
10/18/10,140.899994,143.029999,140.839996,142.830002,103.641876,10322700
10/19/10,137.300003,139.339996,136.699997,138.029999,100.158844,14159100
10/20/10,138.279999,139.869995,138.130005,139.070007,100.91349,6945500
10/21/10,139.809998,140.490005,138.399994,139.830002,101.464973,6221200
10/22/10,140.149994,140.75,139.460007,139.669998,101.348885,4105300
10/25/10,140.419998,141.399994,139.809998,139.839996,101.472183,4870000
10/26/10,139.289993,142,138.529999,140.669998,102.074509,7327100
10/27/10,139.520004,141.570007,139,141.429993,102.625969,6465300
10/28/10,141.839996,141.949997,140.419998,140.899994,102.241379,5481600
10/29/10,140.899994,144,140.75,143.600006,104.200592,8439300
11/1/10,143.639999,144.259995,142.320007,143.320007,103.997406,5674600
11/2/10,143.850006,144.710007,143.710007,143.839996,104.374733,4626400
11/3/10,144.240005,144.460007,142.630005,144.169998,104.614204,5182100
11/4/10,144.820007,146.839996,144.710007,146.789993,106.515343,6622500
11/5/10,145.940002,146.929993,145.669998,146.919998,106.609657,4995800
11/8/10,145.350006,146.580002,145.25,146.460007,106.748177,4459700
11/9/10,146.699997,147.529999,145.630005,146.139999,106.514931,5700600
11/10/10,146.089996,146.789993,145.630005,146.550003,106.813766,5172000
11/11/10,144.699997,145.5,143.350006,145.429993,105.997437,4752200
11/12/10,144.589996,145.770004,143.550003,143.740005,104.765686,4731500
11/15/10,143.889999,144.75,143.270004,143.639999,104.692787,3827700
11/16/10,142.929993,143.380005,141.179993,142.240005,103.672409,6342100
11/17/10,142.490005,142.490005,141.389999,141.949997,103.461029,4785900
11/18/10,143.039993,144.990005,142.75,144.360001,105.21756,4236200
11/19/10,144.380005,145.350006,143.990005,145.050003,105.720482,5015900
11/22/10,144,145.429993,143.559998,145.389999,105.968269,3730700
11/23/10,144.240005,144.529999,142.330002,143.179993,104.357552,4570300
11/24/10,143.949997,146.440002,143.820007,145.809998,106.274399,4874100
11/26/10,145.300003,145.300003,143.570007,143.899994,104.882271,2081300
11/29/10,143.529999,143.669998,141.5,142.889999,104.146141,5040300
11/30/10,142.240005,142.759995,141.279999,141.460007,103.103897,7674800
12/1/10,143.610001,145.130005,143.509995,144.410004,105.254028,6822800
12/2/10,144.330002,145.850006,144.300003,145.179993,105.815247,5374000
12/3/10,144.25,145.679993,144.25,145.380005,105.961037,3710600
12/6/10,144.539993,145.869995,144.520004,144.990005,105.676758,3321800
12/7/10,146.020004,146.300003,143.869995,144.020004,104.969765,4828600
12/8/10,144.350006,145.649994,143.839996,144.979996,105.669472,4961400
12/9/10,145.940002,145.940002,143.520004,144.300003,105.173836,4405300
12/10/10,144.880005,144.949997,143.729996,144.820007,105.552849,3503800
12/13/10,145.139999,145.399994,144.210007,144.279999,105.159279,4741000
12/14/10,144.259995,146.009995,144.259995,145.820007,106.281738,4800800
12/15/10,145.130005,145.720001,144.309998,144.720001,105.479942,4447400
12/16/10,144.839996,145.320007,144.149994,144.550003,105.356049,4178600
12/17/10,144.690002,145.5,144.399994,145,105.684059,10027000
12/20/10,145.389999,145.539993,144.389999,144.509995,105.326881,3995000
12/21/10,144.990005,145.990005,144.330002,145.740005,106.223389,3777100
12/22/10,145.660004,146.399994,145.580002,145.949997,106.376442,3388800
12/23/10,145.889999,146.330002,145.330002,145.889999,106.332726,2424500
12/27/10,145.119995,145.699997,145,145.339996,105.931854,2314700
12/28/10,145.309998,146.149994,145.059998,145.710007,106.201546,2699600
12/29/10,146,147.5,145.710007,146.520004,106.791908,3661100
12/30/10,146.360001,147.110001,146.25,146.669998,106.901199,3039100
12/31/10,146.729996,147.070007,145.960007,146.759995,106.96682,2969800
1/3/11,147.210007,148.199997,147.139999,147.479996,107.491608,4603800
1/4/11,147.559998,148.220001,146.639999,147.639999,107.608238,5060100
1/5/11,147.339996,147.479996,146.729996,147.050003,107.178162,4657400
1/6/11,147.130005,148.789993,146.820007,148.660004,108.351669,5029200
1/7/11,148.789993,148.860001,146.940002,147.929993,107.81958,4135700
1/10/11,147.580002,148.059998,147.229996,147.639999,107.608238,3633400
1/11/11,148.199997,148.350006,146.75,147.279999,107.345818,4163600
1/12/11,147.990005,149.289993,147.669998,149.100006,108.672363,4091500
1/13/11,149.240005,149.289993,148.25,148.820007,108.468285,3445800
1/14/11,148.889999,150,148.470001,150,109.328308,4544200
1/18/11,149.820007,151.460007,149.380005,150.649994,109.802071,9176900
1/19/11,153.259995,156.130005,152.830002,155.690002,113.47551,12141000
1/20/11,154.529999,155.960007,154.449997,155.800003,113.555687,7439900
1/21/11,156.399994,156.779999,154.960007,155.5,113.337029,7009000
1/24/11,155.419998,159.789993,155.330002,159.630005,116.34716,7285100
1/25/11,159.210007,164.350006,159,161.440002,117.666451,8260800
1/26/11,161.669998,161.899994,160.419998,161.039993,117.374878,5353100
1/27/11,161.429993,162.179993,160.860001,161.070007,117.396736,4878300
1/28/11,161.050003,161.919998,158.669998,159.210007,116.041054,6725600
1/31/11,159.179993,162,158.679993,162,118.074593,7197200
2/1/11,162.110001,163.940002,162,163.559998,119.211594,5831300
2/2/11,163.399994,163.600006,162.610001,163.300003,119.02211,3904000
2/3/11,163.160004,164.199997,162.809998,163.529999,119.189728,4683400
2/4/11,163.479996,164.139999,163.220001,164,119.532295,3755200
2/7/11,164.080002,164.990005,164.020004,164.820007,120.130005,4928100
2/8/11,164.820007,166.25,164.320007,166.050003,121.505592,5612600
2/9/11,165.619995,165.970001,164.100006,164.649994,120.481216,4633600
2/10/11,163.899994,165,163.179993,164.089996,120.071426,5737800
2/11/11,163.979996,165.009995,163.309998,163.850006,119.895828,5185200
2/14/11,164.179993,164.380005,162.850006,163.220001,119.43483,4129800
2/15/11,162.889999,163.570007,162.520004,162.839996,119.156708,3768700
2/16/11,163.330002,163.600006,162.75,163.399994,119.566505,3216000
2/17/11,163.300003,164.669998,162.850006,164.240005,120.181229,3230500
2/18/11,164.460007,164.839996,164.100006,164.839996,120.620224,4245000
2/22/11,163.570007,164.259995,161.779999,161.949997,118.505493,5209300
2/23/11,161.809998,162.679993,160.139999,160.179993,117.210274,5998100
2/24/11,159.630005,161.270004,159.029999,160.770004,117.642036,5707500
2/25/11,161.059998,162.339996,160.860001,162.279999,118.746956,4518400
2/28/11,162.360001,162.990005,161.240005,161.880005,118.454262,4773000
3/1/11,163.149994,163.149994,159.880005,159.970001,117.056625,4382800
3/2/11,159.429993,161.110001,159.410004,160.160004,117.195717,3413000
3/3/11,161.419998,164,161.270004,163.479996,119.625053,4057800
3/4/11,163.399994,164.309998,160.649994,161.830002,118.417671,4910700
3/7/11,161.600006,162.979996,158.850006,159.929993,117.027382,5312000
3/8/11,159.699997,163.429993,159.210007,162.279999,118.746956,5384800
3/9/11,163.470001,167.720001,163.279999,165.860001,121.366562,9086600
3/10/11,164.639999,164.669998,161.380005,162.020004,118.556679,7041400
3/11/11,162.399994,163.240005,160.839996,162.429993,118.856697,4271000
3/14/11,161.160004,161.979996,160.089996,161.389999,118.095718,4300500
3/15/11,157.350006,159.639999,156.880005,159.020004,116.361534,6475800
3/16/11,156.520004,156.979996,151.710007,153,111.95639,12195300
3/17/11,154,154.5,152.699997,154.179993,112.819839,7376400
3/18/11,156.5,156.949997,154.320007,155.889999,114.071167,11450000
3/21/11,157.639999,159.630005,157.070007,157.679993,115.380951,5784000
3/22/11,158.559998,158.610001,157.520004,158,115.61512,4311400
3/23/11,158,160.080002,157.529999,159.529999,116.73468,4782500
3/24/11,160.229996,160.710007,158.839996,160.039993,117.107864,5145800
3/25/11,160.979996,162.740005,160.759995,162.179993,118.673805,5348100
3/28/11,161.539993,162.580002,161.119995,161.369995,118.081062,3972800
3/29/11,161.339996,163.089996,161.149994,162.880005,119.185997,3456700
3/30/11,163.550003,163.990005,163.020004,163.600006,119.712906,3394100
3/31/11,163.399994,164.059998,163.070007,163.070007,119.32505,3860800
4/1/11,163.699997,164.419998,163.039993,164.270004,120.203171,4381900
4/4/11,164.419998,164.729996,163.580002,164.25,120.188515,3225100
4/5/11,163.809998,164.699997,163.619995,163.990005,119.99826,3612000
4/6/11,164.339996,164.75,163.809998,164.039993,120.034882,3774800
4/7/11,164.100006,164.550003,163.279999,164.380005,120.283623,3666700
4/8/11,164.350006,164.380005,163.160004,164.050003,120.042145,3324100
4/11/11,163.440002,164,163.110001,163.949997,119.968925,4139000
4/12/11,163.360001,163.770004,162.300003,163.25,119.456795,3860600
4/13/11,163.970001,164.929993,163.660004,163.949997,119.968925,4181900
4/14/11,163.839996,165.360001,163.160004,164.970001,120.715355,4699100
4/15/11,165,166.339996,164.869995,166.210007,121.622704,5287400
4/18/11,164.639999,166.160004,162.860001,165.940002,121.425171,6160700
4/19/11,165.710007,166.380005,164.440002,165.399994,121.029953,6547100
4/20/11,163.100006,165.889999,162.190002,164.75,120.554344,10891800
4/21/11,165.630005,168.449997,164.860001,168.279999,123.137444,6158400
4/25/11,167.649994,168.770004,167.229996,167.669998,122.691086,3583800
4/26/11,167.990005,169.199997,167.399994,168.490005,123.291084,7300000
4/27/11,168.610001,170.589996,168.460007,170.369995,124.666725,5299700
4/28/11,169.990005,171.380005,169.699997,170.779999,124.966743,5087700
4/29/11,171.100006,173,170.479996,170.580002,124.820419,5587700
5/2/11,172.110001,173.539993,171.490005,172.149994,125.969254,5396200
5/3/11,172,173.479996,171.229996,172.869995,126.496117,5007700
5/4/11,172.360001,172.619995,169.589996,170.619995,124.849686,6890300
5/5/11,170.470001,170.869995,167.5,168.460007,123.269135,7332000
5/6/11,169.029999,170.149994,168.240005,168.889999,124.136452,4839400
5/9/11,168.389999,169.850006,168.309998,169.100006,124.290794,3594800
5/10/11,169.25,170.899994,169.220001,170.380005,125.231628,4934800
5/11/11,170.300003,170.520004,167.820007,169.5,124.584793,4663200
5/12/11,169.649994,172.770004,168.649994,172.240005,126.59874,5138500
5/13/11,171.699997,172.149994,169.440002,169.919998,124.893501,5167400
5/16/11,169.809998,170.639999,168.309998,168.860001,124.114395,4662200
5/17/11,167.850006,171.410004,166.529999,170.5,125.319824,8773200
5/18/11,170.100006,171.190002,169.460007,170.440002,125.275757,4154300
5/19/11,170.860001,171.399994,169.320007,170.589996,125.385971,3538300
5/20/11,170.399994,171.149994,169.380005,170.160004,125.069969,4869900
5/23/11,168.580002,168.690002,167.070007,168.259995,123.673393,5144000
5/24/11,168.5,168.669998,167.509995,167.990005,123.474953,4643600
5/25/11,167.630005,168.399994,167.509995,167.75,123.298515,3882100
5/26/11,167.460007,167.5,165.899994,167.179993,122.879578,5771300
5/27/11,167.910004,168.470001,167,167.5,123.114799,3277600
5/31/11,168.440002,169.889999,167.820007,168.929993,124.165871,9123400
6/1/11,168.899994,169.580002,166.5,166.559998,122.423851,5134600
6/2/11,166.440002,167.100006,165.710007,166.089996,122.078384,3854100
6/3/11,164.300003,165.889999,164.130005,165.050003,121.314018,5230500
6/6/11,164.759995,165.580002,164.270004,164.75,121.09346,3619700
6/7/11,165.110001,165.240005,163.610001,163.690002,120.314392,4187000
6/8/11,163.270004,164.850006,163.259995,164.339996,120.79213,3850800
6/9/11,165.009995,165.960007,164.759995,164.839996,121.159637,4299800
6/10/11,164.570007,164.839996,162.869995,163.179993,119.939514,4683300
6/13/11,164.440002,164.460007,162.729996,163.169998,119.932159,5099200
6/14/11,163.869995,164.570007,163.649994,164.119995,120.63047,7050000
6/15/11,162.75,163.410004,161.520004,162.330002,119.314735,5225600
6/16/11,162.059998,163.630005,161.779999,162.669998,119.564629,4861100
6/17/11,164.240005,165.100006,163.580002,164.440002,120.865685,7149700
6/20/11,163.699997,165.610001,163.589996,165.020004,121.291924,3956100
6/21/11,165.199997,166.75,164,166.220001,122.173935,5387300
6/22/11,165.589996,166.809998,165.100006,165.679993,121.777054,3960500
