<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.IBM,1,20200709,120600,116.2000000,116.2300000,116.2000000,116.2200000,500
US1.IBM,1,20200709,120700,116.3300000,116.3500000,116.3300000,116.3500000,500
US1.IBM,1,20200709,120800,116.3000000,116.3000000,116.2600000,116.2600000,800
US1.IBM,1,20200709,120900,116.2700000,116.2700000,116.2000000,116.2000000,900
US1.IBM,1,20200709,121100,116.2000000,116.2100000,116.2000000,116.2100000,200
US1.IBM,1,20200709,121200,116.2000000,116.2000000,116.1400000,116.1400000,200
US1.IBM,1,20200709,121300,116.1000000,116.1000000,116.0800000,116.0900000,600
US1.IBM,1,20200709,121400,116.0800000,116.0800000,116.0800000,116.0800000,100
US1.IBM,1,20200709,121500,116.1100000,116.1100000,116.1100000,116.1100000,286
US1.IBM,1,20200709,121600,116.1400000,116.2000000,116.1400000,116.2000000,200
US1.IBM,1,20200709,121700,116.1700000,116.1900000,116.1700000,116.1900000,400
US1.IBM,1,20200709,121800,116.1300000,116.1300000,116.0600000,116.0800000,300
US1.IBM,1,20200709,121900,116.1200000,116.1200000,116.1100000,116.1100000,300
US1.IBM,1,20200709,122000,116.1800000,116.1800000,116.1300000,116.1300000,200
US1.IBM,1,20200709,122100,116.0300000,116.0300000,116.0300000,116.0300000,100
US1.IBM,1,20200709,122200,116.0300000,116.0300000,116.0300000,116.0300000,100
US1.IBM,1,20200709,122400,116.1300000,116.1600000,116.1300000,116.1600000,300
US1.IBM,1,20200709,122500,116.1600000,116.1600000,116.1100000,116.1600000,400
US1.IBM,1,20200709,122600,116.1700000,116.2000000,116.1700000,116.1800000,400
US1.IBM,1,20200709,122700,116.1500000,116.1500000,116.0700000,116.0700000,400
US1.IBM,1,20200709,122900,116.0800000,116.0800000,116.0800000,116.0800000,100
US1.IBM,1,20200709,123000,116.0600000,116.0600000,116.0500000,116.0500000,400
US1.IBM,1,20200709,123100,116.0400000,116.0400000,116.0400000,116.0400000,100
US1.IBM,1,20200709,123200,116.0500000,116.0500000,115.9400000,115.9400000,700
US1.IBM,1,20200709,123300,115.9400000,115.9600000,115.8900000,115.8900000,1237
US1.IBM,1,20200709,123400,115.8300000,115.8300000,115.8300000,115.8300000,300
US1.IBM,1,20200709,123500,115.8700000,116.0500000,115.8700000,115.9900000,4164
US1.IBM,1,20200709,123700,116.0600000,116.0600000,116.0200000,116.0200000,586
US1.IBM,1,20200709,123800,116.0100000,116.0100000,115.9100000,115.9800000,1100
US1.IBM,1,20200709,124000,115.9500000,115.9700000,115.9500000,115.9600000,356
US1.IBM,1,20200709,124100,116.0300000,116.0700000,116.0300000,116.0700000,300
US1.IBM,1,20200709,124200,116.0200000,116.0200000,116.0200000,116.0200000,200
US1.IBM,1,20200709,124300,115.9600000,115.9800000,115.9600000,115.9600000,300
US1.IBM,1,20200709,124400,116.0200000,116.0200000,116.0200000,116.0200000,100
US1.IBM,1,20200709,124600,116.0200000,116.0700000,116.0200000,116.0700000,300
US1.IBM,1,20200709,124700,116.1200000,116.1500000,116.1200000,116.1200000,1200
US1.IBM,1,20200709,124800,116.1800000,116.1800000,116.1800000,116.1800000,100
US1.IBM,1,20200709,124900,116.0900000,116.0900000,116.0900000,116.0900000,100
US1.IBM,1,20200709,125200,116.0500000,116.0500000,116.0000000,116.0200000,878
US1.IBM,1,20200709,125300,116.0200000,116.0300000,116.0200000,116.0300000,300
US1.IBM,1,20200709,125500,116.0800000,116.0800000,116.0600000,116.0600000,200
US1.IBM,1,20200709,125600,116.0300000,116.0300000,116.0300000,116.0300000,100
US1.IBM,1,20200709,125700,116.0500000,116.0500000,116.0500000,116.0500000,100
US1.IBM,1,20200709,125800,116.0400000,116.0800000,116.0400000,116.0800000,200
US1.IBM,1,20200709,130000,116.1100000,116.1100000,116.1100000,116.1100000,100
US1.IBM,1,20200709,130100,116.1300000,116.1300000,116.1300000,116.1300000,100
US1.IBM,1,20200709,130200,116.1600000,116.3000000,116.1600000,116.3000000,700
US1.IBM,1,20200709,130300,116.2900000,116.2900000,116.2400000,116.2400000,400
US1.IBM,1,20200709,130400,116.2600000,116.2600000,116.2600000,116.2600000,700
US1.IBM,1,20200709,130500,116.2500000,116.2500000,116.1300000,116.2000000,2490
US1.IBM,1,20200709,130600,116.2500000,116.2500000,116.2500000,116.2500000,100
US1.IBM,1,20200709,130700,116.2400000,116.2400000,116.2400000,116.2400000,100
US1.IBM,1,20200709,130900,116.2500000,116.2800000,116.2300000,116.2800000,722
US1.IBM,1,20200709,131000,116.3400000,116.3400000,116.2300000,116.2500000,2200
US1.IBM,1,20200709,131100,116.2600000,116.3100000,116.2600000,116.2800000,1500
US1.IBM,1,20200709,131200,116.2800000,116.2800000,116.1900000,116.2000000,500
US1.IBM,1,20200709,131300,116.1800000,116.2300000,116.1800000,116.2000000,700
US1.IBM,1,20200709,131400,116.1900000,116.1900000,116.0500000,116.0700000,1300
US1.IBM,1,20200709,131500,116.1000000,116.1200000,116.0800000,116.0900000,1700
US1.IBM,1,20200709,131600,116.0900000,116.1900000,116.0900000,116.1900000,1500
US1.IBM,1,20200709,131700,116.1700000,116.1800000,116.1500000,116.1500000,400
US1.IBM,1,20200709,131800,116.0900000,116.1000000,116.0800000,116.0800000,400
US1.IBM,1,20200709,131900,116.0800000,116.0900000,116.0800000,116.0900000,2074
US1.IBM,1,20200709,132000,116.0600000,116.0900000,116.0500000,116.0600000,500
US1.IBM,1,20200709,132100,116.0400000,116.0400000,116.0400000,116.0400000,200
US1.IBM,1,20200709,132200,116.0200000,116.0200000,116.0200000,116.0200000,200
US1.IBM,1,20200709,132300,116.0200000,116.0300000,115.9200000,115.9200000,400
US1.IBM,1,20200709,132400,115.9800000,116.0300000,115.9800000,116.0300000,300
US1.IBM,1,20200709,132500,116.0300000,116.0300000,116.0000000,116.0000000,200
US1.IBM,1,20200709,132600,115.9900000,115.9900000,115.9900000,115.9900000,100
US1.IBM,1,20200709,132700,115.9600000,115.9900000,115.9600000,115.9700000,700
US1.IBM,1,20200709,132800,115.9800000,116.0300000,115.9800000,116.0300000,400
US1.IBM,1,20200709,132900,116.0300000,116.0800000,116.0300000,116.0800000,600
US1.IBM,1,20200709,133000,116.0600000,116.1400000,116.0600000,116.1400000,300
